date,temp_anom,cpi,oil,pce_nom,unemploy,pop,y10,sp500,div,gold,infl,dloil,pce_real,act,unrate,dy10,ret_eq,ret_bond,ret_gold,temp_shock
2003-08-01,0.6109,184.6,29.888095238095236,7878.9,8896.0,291072.0,4.45,989.53,16.450000000000003,359.768,4.559028550171718,5.2879228167128645,42.680931744312026,0.8344458935660715,3.0562884784520667,0.4700000000000002,-0.5452042423901171,-3.8082523791809777,2.0816986904112156,0.2361524425216106
2003-09-01,0.5693,185.2,27.112272727272728,7874.0,8921.0,291321.0,4.27,1019.44,16.59,378.945,3.894000171992218,-9.747375500393218,42.51619870410367,-0.38671078388032853,3.062257784368446,-0.1800000000000006,2.7888870814711737,1.4863333190006534,4.868669641271506,0.1940012422713283
2003-10-01,0.6529,185.0,29.60782608695652,7890.6,8732.0,291574.0,4.29,1038.73,16.85666666666667,378.92,-1.2965965605054919,8.805222767661158,42.65189189189189,0.3186482206045671,2.9947800558348825,0.020000000000000462,2.1177285573781157,0.3038830467087873,0.10145223229134359,0.277050042021046
2003-11-01,0.49,184.5,28.752499999999998,7950.4,8576.0,291807.0,4.3,1049.9,17.123333333333335,389.91,-3.2476339172912816,-2.9314001228874176,43.09159891598916,1.0256425869824781,2.9389288125370534,0.009999999999999787,1.476067142146741,0.5481361597742752,3.129720385201562,0.11359884177076363
2003-12-01,0.6507,184.3,29.80714285714286,7974.3,8317.0,292008.0,4.27,1080.64,17.39,406.953,-1.3015185657643258,3.6023337997648675,43.2680412371134,0.40862274627335715,2.848209638092107,-0.03000000000000025,3.128326341380566,0.7067932138136958,4.3866355202086815,0.2737476415204815
2004-01-01,0.5008,185.2,31.280952380952378,8037.3,8370.0,292192.0,4.15,1132.52,17.6,413.788,5.845749043561099,4.826130419275598,43.397948164146875,0.2997877834738816,2.864554813273464,-0.11999999999999922,4.331453169553457,0.8286875797032354,1.1784608179083556,0.12329644127019923
2004-02-01,0.6285,186.2,30.8585,8072.1,8167.0,292368.0,4.08,1143.36,17.810000000000002,404.878,6.462051157065218,-1.359712303182814,43.35177228786252,-0.1064577047736659,2.7933973622284243,-0.07000000000000028,0.5438247868665912,0.3673290702445674,-2.715302084676985,0.25044524101991683
2004-03-01,0.5184,187.4,33.63434782608696,8121.0,8491.0,292561.0,3.83,1123.98,18.02,406.667,7.708805953625841,8.613556240616749,43.33511205976521,-0.038437713912120586,2.902300716773596,-0.25,-2.2184208638996403,1.6975995038645133,-0.2015123388758866,0.13979404076963453
2004-04-01,0.5155,188.0,33.59090909090909,8141.6,8170.0,292779.0,4.35,1133.36,18.21333333333333,403.26,3.8359116307532304,-0.12923339594577143,43.306382978723406,-0.0663171430316023,2.7905006848168754,0.5199999999999996,0.6452409613142598,-4.160492635896099,-1.1609746546685784,0.1363428405193522
2004-05-01,0.3473,189.1,37.56761904761905,8212.9,8212.0,292997.0,4.72,1102.78,18.406666666666663,383.779,7.000815401354998,11.188701622199382,43.431517715494444,0.2885355135057832,2.8027590726184908,0.3700000000000001,-3.179645783395552,-3.180901283446251,-5.534866196568355,-0.03240835973093009
2004-06-01,0.3085,189.7,35.18363636363636,8204.6,8286.0,293223.0,4.73,1132.76,18.6,392.373,3.801481531868234,-6.5561385329249156,43.25039536109647,-0.41790175496956294,2.8258356268096296,0.010000000000000675,2.5022370928961615,-0.0034567943223582677,1.897815062915953,-0.07175955998121242
2004-07-01,0.2363,189.4,38.221363636363634,8270.7,8136.0,293463.0,4.5,1105.85,18.78666666666667,398.091,-1.8992354267890477,8.281351830013728,43.66789862724393,0.9606872339579464,2.7724108320299323,-0.23000000000000043,-2.104546418565089,2.3924362855657573,1.6050400570207124,-0.14451076023149473
2004-08-01,0.4592,189.5,42.74409090909091,8294.4,7990.0,293719.0,4.28,1088.94,18.973333333333333,400.51,0.6334125246038269,11.183634469738513,43.769920844327174,0.2333595782650466,2.7202870771043073,-0.21999999999999975,-1.4486448219416224,2.082215622949679,0.5530268849567754,0.07783803951822293
2004-09-01,0.4606,189.9,43.19681818181818,8373.0,7927.0,293971.0,4.13,1117.66,19.16,405.275,2.5303119549107578,1.0535877858728337,44.09162717219589,0.7323061630826633,2.6965244871092726,-0.15000000000000036,2.535143518080531,1.345807337090773,0.9718520746165638,0.07868683926794062
2004-10-01,0.5174,190.9,49.776666666666664,8417.9,8061.0,294230.0,4.1,1117.21,19.25333333333333,420.464,6.302535496154604,14.177949406218637,44.095861707700365,0.009603483581432926,2.739693437107025,-0.03000000000000025,-0.42197339834488823,0.05895537532045157,3.15409014407253,0.13493563901765848
